"Tijdstempel","ID (gegeven door leider experiment","Leeftijd","Geslacht","Heeft u voor dit onderzoek al eerdere ervaring met robots gehad?","Ik voelde me tevreden","Ik voelde me vaardig","Ik voelde me vrolijk","Ik was met andere zaken bezig","Ik vond het saai","Ik vond het moeilijk","Ik vergat alles om me heen","Ik voelde me lekker","Ik was er goed in","Ik voelde me verveeld","Ik voelde me succesvol","Ik genoot ervan","Ik was snel in het bereiken van de doelen in de game","Ik was geïrriteerd","Ik was prikkelbaar","Ik was mijn gevoel voor tijd kwijt","Ik voelde me uitgedaagd","Ik was ten volle geconcentreerd op de game","Ik was gefrustreerd","ik was weg uit de buitenwereld","Ik voelde tijdsdruk","Ik moest er veel moeite in steken","Ik leefde mee met de ander","Mijn handelingen hingen af van de handelingen van de ander","De handelingen van de robot hingen af van mijn handelingen","Ik voelde me verbonden met de robot","De robot lette op mij","Ik lette op de robot","Ik was jaloers op de robot","Ik vond het gezellig met de robot","Wanneer ik blij was, was de robot blij","Wanneer de robot blij was, was ik blij","Ik beinvloedde de stemming van de robot","Ik werd beïnvloed door de stemming van de robot","Ik bewonderde de robot","Wat de robot deed beïnvloedde wat ik deed","Wat ik deed, beïnvloedde wat de robot deed","Ik was wraakzuchtig","Ik had leedvermaak","Ik voelde me opgepept","Ik voelde me rot","Ik voelde me schuldig","Ik zag het als een overwinning","Ik vond het zonde van de tijd","Ik voelde me opgeladen","Ik voelde me voldaan","Ik vond dat ik meer nuttigs had kunnen doen","Ik voelde me machtig","Ik had spijt","Ik schaamde me","Ik voelde me trots","De robot helpt me wanneer ik het nodig heb","De robot zou me comfortabel laten voelen in een nieuwe situatie","De robot laat me slim voelen","De robot helpt me met dingen doen","De robot wijst me op dingen waar ik goed in ben","De robot zou fijn om in de buurt te hebben als ik bang ben","De robot zou mij beter laten voelen als ik zorgen had","De robot complimenteert mij wanneer ik iets goed doe","De robot geeft me het gevoel dat ik speciaal ben","De robot zou me kalmeren als ik zenuwachtig was","De robot helpt me wanneer ik mijn best doe om iets af te maken","De robot geeft me het gevoel dat ik goed ben in dingen","De robot laat me zien hoe ik dingen beter kan doen","De robot geeft me een beter gevoel wanneer ik overstuur ben"
"2020/06/11 4:44:41 p.m. EET","1","23","Vrouw","Ja","4","4","4","2","2","2","4","4","4","1","4","4","2","1","1","4","4","4","2","4","4","3","3","5","5","5","4","5","1","4","4","4","3","5","3","4","4","1","1","5","1","1","1","3","3","4","3","3","1","1","4","7","6","7","7","8","3","3","8","7","6","7","7","6","5"
"2020/06/11 4:55:22 p.m. EET","1","23","Vrouw","Ja","5","5","5","1","4","1","3","4","5","3","5","4","5","1","1","3","2","4","1","3","1","3","4","4","4","3","4","5","1","3","2","2","2","2","2","3","3","1","1","4","1","1","3","3","3","3","3","1","1","1","3","5","6","8","5","1","3","3","3","3","4","3","7","2","4"
"2020/06/11 5:30:39 p.m. EET","2","22","Vrouw","Nee","4","4","4","3","2","2","4","4","3","2","3","4","2","3","3","4","3","4","2","4","2","2","1","3","3","2","4","4","1","4","2","2","1","1","4","3","3","1","1","3","1","1","2","2","3","3","3","1","1","1","3","7","7","5","7","5","7","5","7","5","5","7","7","7","5"
"2020/06/11 5:39:33 p.m. EET","2","22","Vrouw","Nee","4","4","4","2","2","4","4","4","4","2","4","4","2","2","2","2","4","4","2","3","2","3","2","3","3","2","4","4","1","4","4","4","2","4","2","3","3","1","1","4","2","1","4","2","4","4","3","2","1","1","4","7","5","8","7","8","5","5","8","5","6","7","7","6","5"
"2020/06/11 7:27:26 p.m. EET","3","24","Vrouw","Nee","5","4","5","1","1","3","4","5","4","1","4","5","4","1","1","5","4","5","1","4","1","4","5","5","5","5","5","5","2","5","4","4","3","4","5","5","5","1","1","5","1","1","4","1","4","5","1","4","1","1","5","7","7","7","7","7","7","8","8","8","8","8","8","7","8"
"2020/06/11 7:37:35 p.m. EET","3","24","Vrouw","Nee","5","5","5","1","1","5","5","5","5","1","5","5","4","1","1","5","5","5","1","5","1","3","5","5","5","5","5","5","1","5","5","5","5","5","5","5","5","1","1","5","1","1","4","1","5","5","1","3","1","1","5","8","8","8","8","8","7","8","8","8","8","8","8","8","8"
"2020/06/11 8:09:36 p.m. EET","4","59","Man","Ja","4","4","4","3","2","3","3","4","4","2","4","4","3","1","1","3","4","3","1","3","3","3","3","4","4","4","3","4","1","4","4","3","3","3","3","4","4","1","1","3","1","1","3","1","3","3","2","2","1","1","3","5","5","5","6","6","5","5","6","5","5","6","6","5","5"
"2020/06/11 8:26:01 p.m. EET","4","59","Man","Nee","3","4","4","1","1","2","2","4","4","2","4","4","3","2","2","2","4","4","2","2","2","3","3","3","3","4","3","4","2","4","3","3","3","3","3","3","3","1","2","4","2","2","2","1","3","3","2","1","1","1","3","5","5","5","5","6","5","6","6","5","5","6","6","4","5"
"2020/06/11 9:06:55 p.m. EET","5","55","Vrouw","Nee","4","3","5","1","2","3","4","4","3","1","3","4","2","2","2","4","4","4","2","3","3","3","3","1","1","4","3","4","1","4","2","2","2","2","4","1","1","1","1","4","1","1","2","1","3","4","1","1","1","1","1","6","6","6","7","3","7","7","7","7","7","7","6","8","8"
"2020/06/11 9:19:38 p.m. EET","5","55","Vrouw","Nee","4","3","5","2","4","3","2","4","3","2","3","4","2","3","1","4","3","5","3","4","3","2","4","2","2","3","3","4","1","4","3","4","1","2","4","3","2","1","1","4","1","1","1","1","3","4","1","1","1","1","2","6","6","5","7","7","7","6","7","6","7","6","6","7","6"
"2020/06/12 12:42:48 p.m. EET","6","19","Vrouw","Nee","4","4","5","3","1","1","3","4","5","1","3","5","5","1","1","4","3","4","1","3","2","1","2","5","5","3","4","5","1","5","4","4","2","4","5","4","4","1","4","4","1","1","3","1","3","3","2","1","1","1","2","2","6","8","1","5","1","4","9","5","1","1","7","1","1"
"2020/06/12 12:51:25 p.m. EET","6","19","Vrouw","Nee","5","5","5","1","1","2","4","5","5","1","4","5","5","2","1","5","5","4","1","4","3","3","3","5","5","4","5","4","1","5","5","4","3","5","5","4","5","1","1","4","1","1","4","1","5","5","1","1","1","1","5","2","7","9","1","9","5","6","9","7","6","1","9","1","7"
"2020/06/12 2:26:44 p.m. EET","7","22","Vrouw","Nee","3","4","4","2","2","3","3","4","4","2","4","4","3","3","2","4","3","3","2","3","2","3","1","3","3","3","4","4","1","3","4","4","4","4","3","3","3","3","3","3","1","1","3","1","3","3","1","4","1","1","3","4","3","7","5","7","1","1","9","6","5","1","7","4","3"
"2020/06/12 2:37:51 p.m. EET","7","22","Vrouw","Nee","4","4","4","2","4","4","3","4","4","1","3","3","4","2","1","3","4","5","1","4","1","2","2","4","4","3","4","4","1","3","3","3","2","2","2","4","4","2","1","3","1","1","3","1","3","3","1","3","1","1","2","3","1","5","2","6","1","4","2","4","3","2","4","4","3"
"2020/06/14 10:43:22 a.m. EET","8","53","Vrouw","Nee","4","4","3","1","4","1","3","4","3","3","2","4","1","1","1","4","4","4","1","3","1","2","3","1","1","3","3","3","1","4","2","4","1","4","3","4","1","1","1","4","1","1","2","1","2","2","1","1","1","1","2","4","4","7","5","7","5","1","7","2","2","5","7","5","5"
"2020/06/14 11:09:13 a.m. EET","8","53","Vrouw","Nee","3","3","3","1","3","1","4","4","3","1","3","4","3","1","1","4","4","4","1","3","1","3","2","3","4","4","3","4","1","4","2","3","3","4","3","4","1","1","1","3","1","1","3","1","3","4","1","2","1","1","3","4","7","7","7","7","6","3","7","5","5","6","7","2","2"
"2020/06/14 7:32:36 p.m. EET","9","61","Man","Nee","4","3","4","1","1","3","4","4","3","1","1","5","3","1","1","2","4","4","1","3","2","2","1","2","1","1","1","3","1","2","1","1","1","1","1","2","2","1","1","1","1","1","1","1","1","3","1","1","1","1","1","3","6","3","4","5","1","1","3","4","1","3","3","4","1"
"2020/06/14 7:49:53 p.m. EET","9","61","Man","Nee","3","2","5","1","1","3","5","5","3","1","2","5","1","2","1","5","5","4","1","5","1","4","2","3","1","2","1","3","1","3","2","1","1","1","1","2","1","1","1","3","1","1","3","1","4","2","1","1","1","1","1","3","2","1","1","2","1","1","1","1","1","1","1","1","1"
"2020/06/14 8:34:43 p.m. EET","10","56","Vrouw","Nee","3","5","5","1","3","1","3","5","4","3","3","3","4","1","1","1","4","4","1","3","1","1","3","1","1","3","3","4","1","3","3","1","3","3","4","1","3","1","1","3","1","1","4","1","3","3","1","1","1","1","3","3","3","3","3","5","1","1","5","3","1","3","5","5","1"
"2020/06/14 8:49:21 p.m. EET","10","56","Vrouw","Nee","4","4","4","1","3","1","1","5","4","3","4","3","3","1","1","1","4","5","1","3","1","1","3","3","3","4","3","5","1","4","3","3","1","1","3","3","3","1","1","3","1","1","4","1","3","3","1","1","1","1","1","4","4","5","4","7","1","1","6","5","1","5","7","2","1"
"2020/06/15 2:21:24 p.m. EET","11","22","Man","Ja","2","5","4","3","2","1","3","4","5","2","4","4","4","4","4","3","4","3","3","3","4","2","1","5","5","2","2","5","1","2","1","1","1","2","4","5","4","1","1","4","1","1","4","2","4","4","2","1","1","1","5","2","2","9","3","9","1","4","1","4","3","1","9","2","2"
"2020/06/15 2:29:07 p.m. EET","11","22","Man","Ja","3","5","5","1","1","2","1","5","5","1","4","4","4","4","1","3","5","5","2","1","5","5","1","5","5","1","5","5","1","4","4","2","1","5","4","5","1","1","1","4","1","1","4","1","5","4","1","1","1","1","5","1","4","9","1","6","1","1","9","6","1","3","7","1","1"
"2020/06/15 4:36:34 p.m. EET","12","22","Man","Nee","3","4","3","3","4","1","1","3","3","4","1","2","5","2","1","2","1","3","3","2","1","3","2","2","5","3","5","4","1","3","3","3","2","3","3","3","2","1","2","3","3","1","3","3","3","3","5","4","1","2","3","2","2","2","2","4","4","4","6","3","4","5","5","5","4"
"2020/06/15 4:46:06 p.m. EET","12","22","Man","Nee","3","3","3","3","3","1","1","3","4","4","3","2","5","4","1","2","1","3","2","1","1","3","1","1","5","2","4","4","1","3","3","3","1","1","3","3","1","1","1","1","2","1","2","4","1","1","5","4","2","1","2","3","2","4","4","4","4","2","4","1","2","4","3","2","2"
"2020/06/15 5:23:25 p.m. EET","13","18","Man","Nee","4","3","5","1","1","2","3","4","3","1","3","5","2","1","1","4","3","4","1","2","1","1","3","5","5","5","5","5","2","5","3","5","3","4","5","4","4","1","1","4","1","2","2","1","4","4","2","1","1","1","4","4","7","8","5","3","6","6","1","1","1","1","1","1","1"
"2020/06/15 5:36:14 p.m. EET","13","18","Man","Nee","5","5","5","1","1","2","2","5","3","1","3","5","5","2","1","3","5","4","1","3","1","2","4","5","5","5","5","5","1","4","4","4","3","5","5","4","4","1","1","5","1","1","1","1","4","4","1","1","1","1","4","9","8","6","4","9","7","7","9","8","7","3","8","1","4"
"2020/06/15 8:34:59 p.m. EET","14","23","Vrouw","Nee","4","5","4","4","4","1","1","4","4","4","3","2","4","3","1","2","1","3","1","1","1","2","1","4","4","2","4","4","1","4","4","4","1","2","3","4","4","1","1","2","1","1","3","4","1","3","4","1","2","2","3","3","3","9","1","6","2","2","7","4","1","3","8","1","2"
"2020/06/15 8:45:58 p.m. EET","14","23","Vrouw","Nee","4","2","3","3","4","2","1","4","1","4","2","3","2","3","2","1","2","2","3","1","1","1","1","5","5","2","3","4","1","3","3","3","2","2","3","4","4","1","1","2","1","1","2","4","1","2","4","2","1","1","2","3","3","5","1","1","2","2","2","2","2","5","5","2","2"
"2020/06/16 2:16:40 p.m. EET","15","22","Vrouw","Nee","3","2","4","1","2","2","3","4","2","1","2","4","3","3","2","5","1","5","2","4","1","2","4","4","4","3","3","5","1","3","3","4","1","3","4","4","3","1","4","4","1","1","2","1","2","4","1","4","1","1","3","1","3","3","1","1","1","1","1","1","1","1","1","1","1"
"2020/06/16 2:27:49 p.m. EET","15","22","Vrouw","Nee","4","4","4","1","1","1","4","4","4","2","4","3","4","1","1","5","1","5","1","4","1","2","3","1","5","4","5","5","1","4","1","5","5","5","3","4","5","1","2","4","1","1","1","1","3","4","1","3","1","1","4","1","4","5","1","8","1","1","9","7","1","1","7","1","1"
"2020/06/17 1:36:31 p.m. EET","16","21","Vrouw","Ja","5","4","5","2","2","1","2","5","4","1","4","4","3","1","1","3","4","4","1","2","4","3","4","2","2","4","4","4","1","3","3","4","3","4","3","4","2","1","1","3","1","1","3","1","1","3","2","2","1","1","3","5","7","6","5","6","7","5","7","5","7","4","5","4","5"
"2020/06/17 1:50:56 p.m. EET","16","21","Vrouw","Ja","4","4","4","3","1","3","2","5","4","2","3","4","4","1","1","2","4","4","1","1","4","3","3","3","4","4","4","4","1","4","3","4","3","4","3","4","3","1","1","3","1","1","2","1","3","4","2","2","1","1","3","5","7","6","5","6","7","6","6","5","7","4","5","4","5"
"2020/06/17 4:18:30 p.m. EET","17","22","Man","Weet ik niet","4","4","3","2","3","1","3","3","4","3","4","4","3","4","2","4","3","4","3","4","2","1","3","2","4","4","4","4","1","4","3","4","1","2","3","3","3","2","2","3","1","2","3","1","3","3","2","4","1","1","3","5","7","7","6","3","6","7","4","6","6","6","6","2","6"
"2020/06/17 4:28:45 p.m. EET","17","22","Man","Weet ik niet","5","5","4","1","1","3","4","4","4","1","4","5","4","1","1","4","4","5","1","4","1","3","4","4","4","5","5","4","1","5","4","5","3","4","4","2","4","1","1","4","1","1","3","1","4","4","2","4","1","1","4","5","8","8","5","9","7","7","9","8","6","8","9","6","5"
"2020/06/17 7:03:47 p.m. EET","18","19","Vrouw","Nee","4","4","4","3","2","3","2","4","3","2","3","5","4","2","2","2","5","3","2","2","3","3","2","4","4","2","3","5","1","4","3","3","2","2","4","4","4","4","3","3","2","1","4","1","4","4","1","4","1","2","4","2","1","6","1","7","1","1","8","6","1","5","6","3","1"
"2020/06/17 7:15:10 p.m. EET","18","19","Vrouw","Nee","3","4","4","3","3","3","2","4","3","4","2","4","3","3","3","2","3","4","3","2","3","3","2","3","3","1","2","4","2","1","2","3","2","4","3","3","2","4","3","3","3","1","2","3","2","2","3","3","3","3","3","2","1","3","2","1","1","1","1","2","1","2","1","1","1"